リストランテ・フォレスタ・ヴェルデ	070-8061	北海道	旭川市	高砂台1丁目2-1	0166-69-0000	0166-69-0004	http://www.bmh.jp/	イタリアン・フレンチ
旭川市内認可保育所／キューピッド保育園	078-8357	北海道	旭川市	東光17条9丁目1-19	0166-31-0000	0166-31-1101	http://www.kannsei.jp/	幼稚園・保育施設
株式会社水野染工場	070-0010	北海道	旭川市	大雪通3丁目	0166-29-0000	0166-26-7422	http://www.hanten.jp/	クリーニング・コインランドリー
株式会社鈴木商会	079-8431	北海道	旭川市	永山町10丁目59番地32	0166-48-0000	0166-48-2200	http://www.suzuki-shokai.co.jp/	製造・加工（工作機械・一般機械器具）
株式会社鈴木商会ELV事業部ELV道北	078-8274	北海道	旭川市	工業団地4条2丁目2-25	0166-36-0000	0166-36-8888	http://suzuki-shokai.co.jp/	レッカー・その他
中里メガネ／東光店	078-8348	北海道	旭川市	東光8条1丁目3-5	0166-33-0000	0166-24-4800	http://www.nakasato.co.jp/	生活用品
北海道スバル株式会社G-PARK旭川	079-8412	北海道	旭川市	永山2条12丁目1-16	0166-40-0000	0166-40-0101	http://www.hokkaido-subaru.com/	自動車販売
プリモピアットレストランハウス	070-8061	北海道	旭川市	高砂台2丁目1	0166-63-0001	0166-63-0001	http://www8.plala.or.jp/	イタリアン・フレンチ
旭川ふるさと旅行株式会社	070-0033	北海道	旭川市	3条通7丁目	0166-22-0001	0166-46-0702	http://www.asahikawa-travel.com/	旅行業・代理店
株式会社橋本川島コーポレーション／本社／総務・営業・建築・住宅・企画開発	070-0832	北海道	旭川市	旭町2条7丁目	0166-55-0001	0166-55-1550	https://hkcorp.co.jp/	リフォーム
三本コーヒー株式会社	070-0034	北海道	旭川市	四条3丁目1616-1	0166-25-0001	0166-29-3223	http://www.mmc-coffee.co.jp/	食料品
デイサービスセンターE湯	078-8243	北海道	旭川市	豊岡13条6丁目4-8	0166-35-0003	0166-31-6500	http://e-yu.biz/	介護・福祉
スター・モーターサイクル	070-0056	北海道	旭川市	6条西7丁目1-22	0166-20-0005	0166-21-5551	http://www.ster-motor-cycle.com/	バイク中古・買取
モダ石油株式会社灯油宅配／車検受付	070-0864	北海道	旭川市	住吉4条2丁目8-13	0166-55-0005	N.A.	http://www.shakenjho.com/	ガソリンスタンド
株式会社北日本広告社旭川支社	070-0035	北海道	旭川市	5条通9丁目	0166-20-0007	0166-20-0004	http://www.ad-kitanihon.co.jp/	広告・マーケティング
ネッツトヨタ旭川株式会社／かむい店	070-8048	北海道	旭川市	忠和8条6丁目1-5	0166-62-0010	0166-61-1218	http://toyota-dealers.jp/	カー用品
ホクトヤンマー株式会社	078-8273	北海道	旭川市	工業団地3条1丁目264番地	0166-36-0010	0166-36-0011	https://www.yanmar.com/jp/	製造・加工（工作機械・一般機械器具）
エンディングサポート	078-8233	北海道	旭川市	豊岡3条2丁目2-24	0166-35-0011	0166-35-0111	http://www.ending-s.com/	代行・支援サービス
チュウケイ株式会社旭川営業所	070-0033	北海道	旭川市	3条通15丁目	0166-29-0011	011-271-5999	http://www.chu-kei.co.jp/	アウトソーシング
ホテルメイツ旭川	070-0030	北海道	旭川市	宮下通10丁目	0166-22-0011	0166-22-0055	http://www.ahm.jp/	ホテル・ペンション
株式会社協和機工製作所旭川事業所	071-8112	北海道	旭川市	東鷹栖東2条1丁目137-377	0166-58-0011	011-873-2143	http://www.kyouwakikou.co.jp/	エクステリア
田中工業株式会社	079-8431	北海道	旭川市	永山町6-7-45	0166-46-0011	0166-48-4944	http://www.s-mynt.com/	総合・職別工事業
北星ファミリークリニック	070-0824	北海道	旭川市	錦町19丁目	0166-53-0011	0166-53-2821	http://www.keishinkai.jp.net/	小児科系
旭法探偵事務所	070-0901	北海道	旭川市	花咲町4丁目	0166-54-0012	0166-51-8551	http://kyokuhou.com/	相談・調査
株式会社ツルハ／ツルハドラッグ／東6条店	070-0026	北海道	旭川市	東6条3丁目1-12	0166-20-0012	N.A.	http://www.tsuruha.co.jp/	美容・コスメ
株式会社王子森の恵み大雪	071-8132	北海道	旭川市	末広2条10-4-5	0166-57-0012	N.A.	http://www.oji-morinomegumi-t.ftw.jp/	製造・加工（食料品）
旭川理容美容専門学校／教員室	070-0034	北海道	旭川市	4条通12丁目	0166-22-0015	0166-21-7710	http://atcbb.jp/	専修学校
北海道システム通信有限会社	079-8418	北海道	旭川市	永山8条5-1-17アメニティプラザ1F	0166-46-0020	0166-46-0108	https://www.au.com/	家電
PINS	070-0043	北海道	旭川市	常盤通2丁目	0166-27-0021	0166-27-0021	https://pinsnet.stores.jp/	洋服
財団法人北海道建設技術センター旭川事務所	070-0026	北海道	旭川市	東6条3丁目1-19	0166-29-0021	0166-29-0022	http://www.hoctec.info/	建設業・工務店
ダイワボウ情報システム株式会社旭川営業所	070-0034	北海道	旭川市	4条通8丁目	0166-27-0022	0166-29-3410	http://www.pc-daiwabo.co.jp/	電話・通信
株式会社ふじ	N.A.	北海道	旭川市	末広5条6丁目10番13号	0166-59-0022	0166-55-5454	http://www.arcs-g.co.jp/	コンビニ・スーパー・デパート
株式会社大西時計店	N.A.	北海道	旭川市	春光町10番地イオン春光1F	0166-53-0024	N.A.	http://www.bijou-onishi.co.jp/	洋服
旭星クリーン株式会社	071-8151	北海道	旭川市	東鷹栖1線11	0166-58-0025	0166-58-0288	http://www.kyokusei-c.com/	ゴミ収集・資源回収
四季彩焼肉ももたろう	070-0842	北海道	旭川市	大町2条5丁目	0166-59-0029	0166-55-2983	http://www.yakiniku-momotarou.co.jp/	肉料理
旭川釣具センター	070-0039	北海道	旭川市	9条通16丁目	0166-29-0030	0166-29-0050	http://turigu.ne.jp/	釣り
株式会社おおみ不動産	070-0027	北海道	旭川市	東7条6-1-10	0166-25-0030	N.A.	http://oomifudousan.annex-homes.jp/	不動産
